Designator,Mid X,Mid Y,Layer,Rotation
C1,77.47,13.46,Top,90.0
C2,77.47, 4.95,Top,90.0
C3,77.47,21.97,Top,270.0
C4,68.39,12.26,Top,270.0
C5,65.98,15.43,Top,90.0
C6,50.29,22.99,Top,180.0
D1,47.12, 7.87,Top,270.0
D2,47.12,21.97,Top,90.0
D3,47.12,13.21,Top,270.0
F1,70.99,15.88,Top,90.0
F2,61.02,15.88,Top,90.0
F3,56.01,15.88,Top,90.0
JP1, 6.35,14.61,Top,270.0
JP2,17.78,14.61,Top,270.0
JP3,29.21,14.61,Top,270.0
JP4,40.64,14.61,Top,270.0
JP5,86.36,14.61,Top,270.0
JP6,97.79,14.61,Top,270.0
JP7,109.22,14.61,Top,270.0
JP8,120.65,14.61,Top,270.0
R1,49.66,19.43,Top,90.0
R2,49.66, 9.84,Top,90.0
R3,49.66,14.35,Top,270.0
